Object,Correct_Location,Wrong_Locations
alarm clock,nightstand,"['garbagecan', 'cuttingboard', 'kitchencounter', 'fridge']"
alcohol,kitchencabinet,"['bookshelf', 'dishwasher', 'stove', 'chair']"
beer,fridge,"['cuttingboard', 'bed', 'bookshelf', 'closet']"
board game,cabinet,"['chair', 'microwave', 'kitchencabinet', 'desk']"
book,bookshelf,"['dishwasher', 'kitchencabinet', 'plate', 'microwave']"
box,cabinet,"['bathroomcounter', 'closet', 'towelrack', 'dishwasher']"
broom,closet,"['dishwasher', 'coffeetable', 'bed', 'cabinet']"
candle,diningtable,"['nightstand', 'stove', 'cuttingboard', 'cabinet']"
cards,desk,"['plate', 'kitchencounter', 'nightstand', 'chair']"
cat,sofa,"['cuttingboard', 'bookshelf', 'coffeetable', 'nightstand']"
cellphone,nightstand,"['stove', 'cuttingboard', 'kitchencounter', 'kitchencabinet']"
chef knife,kitchencabinet,"['garbagecan', 'closet', 'boardgame', 'sink']"
cleaning bottle,cabinet,"['boardgame', 'bench', 'bookshelf', 'chair']"
clothes pants,closet,"['stove', 'bookshelf', 'towelrack', 'garbagecan']"
clothes shirt,closet,"['sink', 'bed', 'fridge', 'kitchencabinet']"
coffee pot,kitchencounter,"['plate', 'coffeetable', 'sink', 'bathroomcabinet']"
cookingpot,kitchencabinet,"['bench', 'sofa', 'coffeetable', 'desk']"
crackers,kitchencabinet,"['bench', 'cuttingboard', 'garbagecan', 'bookshelf']"
crayon,cabinet,"['kitchencabinet', 'bathroomcabinet', 'coffeetable', 'microwave']"
cutting board,kitchencabinet,"['bookshelf', 'sofa', 'bench', 'desk']"
deck of cards,coffeetable,"['stove', 'cuttingboard', 'chair', 'closet']"
diary,bookshelf,"['chair', 'plate', 'nightstand', 'bathroomcabinet']"
face soap,bathroomcabinet,"['stove', 'dishwasher', 'microwave', 'bed']"
folder,desk,"['bench', 'garbagecan', 'dishwasher', 'coffeetable']"
food apple,fridge,"['bathroomcounter', 'chair', 'bed', 'sofa']"
food banana,kitchencounter,"['microwave', 'bed', 'sink', 'boardgame']"
food bread,fridge,"['bed', 'garbagecan', 'coffeetable', 'desk']"
food carrot,fridge,"['bookshelf', 'closet', 'kitchencabinet', 'bench']"
food cereal,kitchencabinet,"['stove', 'chair', 'cuttingboard', 'garbagecan']"
food chicken,fridge,"['dishwasher', 'nightstand', 'sofa', 'bathroomcounter']"
food donut,plate,"['closet', 'towelrack', 'bed', 'bookshelf']"
food lemon,fridge,"['bathroomcabinet', 'stove', 'chair', 'sofa']"
food orange,fridge,"['bathroomcabinet', 'bed', 'bathroomcounter', 'chair']"
food potato,kitchencabinet,"['bed', 'bathroomcounter', 'nightstand', 'bookshelf']"
fryingpan,kitchencabinet,"['bed', 'sink', 'closet', 'coffeetable']"
hairdryer,bathroomcabinet,"['nightstand', 'cuttingboard', 'sink', 'chair']"
hanger,closet,"['nightstand', 'kitchencabinet', 'chair', 'fridge']"
juice,fridge,"['chair', 'bench', 'stove', 'microwave']"
kettle,kitchencounter,"['dishwasher', 'garbagecan', 'sofa', 'microwave']"
keyboard,desk,"['bathroomcounter', 'stove', 'sofa', 'bench']"
magazine,coffeetable,"['bathroomcounter', 'kitchencounter', 'garbagecan', 'bench']"
milk,fridge,"['chair', 'cabinet', 'stove', 'sink']"
mouse,desk,"['kitchencabinet', 'boardgame', 'garbagecan', 'bookshelf']"
mug,kitchencabinet,"['cuttingboard', 'sink', 'bench', 'plate']"
napkin,kitchencabinet,"['bed', 'nightstand', 'bench', 'bathroomcounter']"
notes,desk,"['sink', 'bathroomcabinet', 'bed', 'coffeetable']"
novel,bookshelf,"['chair', 'kitchencabinet', 'microwave', 'sink']"
paper,desk,"['closet', 'kitchencabinet', 'bathroomcounter', 'chair']"
paper towel,kitchencounter,"['garbagecan', 'bathroomcabinet', 'towelrack', 'cuttingboard']"
pen,desk,"['nightstand', 'fridge', 'microwave', 'plate']"
pillow,bed,"['cabinet', 'coffeetable', 'diningtable', 'stove']"
plate,kitchencabinet,"['bathroomcounter', 'desk', 'garbagecan', 'cuttingboard']"
radio,cabinet,"['bathroomcounter', 'desk', 'plate', 'kitchencounter']"
remote control,coffeetable,"['plate', 'towelrack', 'chair', 'bathroomcounter']"
shoes,closet,"['nightstand', 'bed', 'chair', 'sofa']"
slippers,closet,"['bed', 'towelrack', 'coffeetable', 'fridge']"
spectacles,nightstand,"['bookshelf', 'cuttingboard', 'bench', 'fridge']"
spoon,kitchencabinet,"['bed', 'nightstand', 'fridge', 'plate']"
toilet paper,bathroomcabinet,"['cuttingboard', 'closet', 'stove', 'towelrack']"
tooth paste,bathroomcabinet,"['dishwasher', 'cuttingboard', 'desk', 'garbagecan']"
toothbrush,bathroomcounter,"['chair', 'diningtable', 'kitchencounter', 'dishwasher']"
towel,towelrack,"['boardgame', 'bed', 'microwave', 'bookshelf']"
toy,sofa,"['bed', 'kitchencounter', 'cabinet', 'kitchencabinet']"
water glass,kitchencabinet,"['chair', 'boardgame', 'closet', 'bench']"
wine,kitchencabinet,"['closet', 'garbagecan', 'desk', 'bed']"
wine glass,kitchencabinet,"['plate', 'desk', 'bathroomcabinet', 'fridge']"
wooden spoon,kitchencabinet,"['plate', 'coffeetable', 'towelrack', 'bench']"
